zip,slic,state,city
01472,0189,MA,WEST GROTON
01473,0189,MA,WESTMINSTER
01474,0189,MA,WEST TOWNSEND
01475,0130,MA,WINCHENDON
01477,0130,MA,WINCHENDON SPRINGS
01501,0169,MA,AUBURN
01503,0169,MA,BERLIN
01504,0220,MA,BLACKSTONE
01505,0169,MA,BOYLSTON
01506,0169,MA,BROOKFIELD
01507,0169,MA,CHARLTON
01508,0169,MA,CHARLTON CITY
01509,0169,MA,CHARLTON DEPOT
01510,0169,MA,CLINTON
01515,0169,MA,EAST BROOKFIELD
01516,0169,MA,DOUGLAS
01517,0169,MA,EAST PRINCETON
01518,0169,MA,FISKDALE
01519,0169,MA,GRAFTON
01520,0169,MA,HOLDEN
01521,0169,MA,HOLLAND
01522,0169,MA,JEFFERSON
01523,0169,MA,LANCASTER
01524,0169,MA,LEICESTER
01525,0220,MA,LINWOOD
01526,0169,MA,MANCHAUG
01527,0169,MA,MILLBURY
01529,0220,MA,MILLVILLE
01531,0169,MA,NEW BRAINTREE
01532,0169,MA,NORTHBOROUGH
01534,0220,MA,NORTHBRIDGE
01535,0169,MA,NORTH BROOKFIELD
01536,0169,MA,NORTH GRAFTON
01537,0169,MA,NORTH OXFORD
01538,0220,MA,NORTH UXBRIDGE
01540,0169,MA,OXFORD
01541,0169,MA,PRINCETON
01542,0169,MA,ROCHDALE
01543,0169,MA,RUTLAND
01544,0530,,
01545,0169,MA,SHREWSBURY
01546,0169,MA,SHREWSBURY
01550,0169,MA,SOUTHBRIDGE
01560,0169,MA,SOUTH GRAFTON
01561,0169,MA,SOUTH LANCASTER
01562,0169,MA,SPENCER
01564,0169,MA,STERLING
01566,0169,MA,STURBRIDGE
01568,0220,MA,UPTON
01569,0220,MA,UXBRIDGE
01570,0169,MA,WEBSTER
01571,0169,MA,DUDLEY
01580,0169,MA,WESTBOROUGH
01581,0169,MA,WESTBOROUGH
01582,0169,MA,WESTBOROUGH
01583,0169,MA,WEST BOYLSTON
01585,0169,MA,WEST BROOKFIELD
01586,0169,MA,WEST MILLBURY
01588,0220,MA,WHITINSVILLE
01590,0169,MA,SUTTON
01601,0169,MA,WORCESTER
01602,0169,MA,WORCESTER
01603,0169,MA,WORCESTER
01604,0169,MA,WORCESTER
01605,0169,MA,WORCESTER
01606,0169,MA,WORCESTER
01607,0169,MA,WORCESTER
01608,0169,MA,WORCESTER
01609,0169,MA,WORCESTER
01610,0169,MA,WORCESTER
01611,0169,MA,CHERRY VALLEY
01612,0169,MA,PAXTON
01613,0169,MA,WORCESTER
01614,0169,MA,WORCESTER
01615,0169,MA,WORCESTER
01653,0169,MA,WORCESTER
01654,0169,MA,WORCESTER
01655,0169,MA,WORCESTER
01701,0220,MA,FRAMINGHAM
01702,0220,MA,FRAMINGHAM
01703,0220,MA,FRAMINGHAM
01704,0220,MA,FRAMINGHAM
01705,0220,MA,FRAMINGHAM
01718,0189,MA,VILLAGE OF NAGOG WOODS
01719,0189,MA,BOXBOROUGH
01720,0189,MA,ACTON
01721,0220,MA,ASHLAND
01730,0186,MA,BEDFORD
01731,0186,MA,HANSCOM AFB
01740,0189,MA,BOLTON
01741,0189,MA,CARLISLE
01742,0189,MA,CONCORD
01745,0169,MA,FAYVILLE
01746,0220,MA,HOLLISTON
01747,0220,MA,HOPEDALE
01748,0169,MA,HOPKINTON
01749,0189,MA,HUDSON
01752,0189,MA,MARLBOROUGH
01754,0189,MA,MAYNARD
01756,0220,MA,MENDON
01757,0220,MA,MILFORD
01760,0209,MA,NATICK
01770,0220,MA,SHERBORN
01772,0169,MA,SOUTHBOROUGH
01773,0189,MA,LINCOLN
01775,0189,MA,STOW
01776,0189,MA,SUDBURY
01778,0189,MA,WAYLAND
01784,0169,MA,WOODVILLE
01801,0189,MA,WOBURN
01803,0189,MA,BURLINGTON
01805,0189,MA,BURLINGTON
01806,0189,MA,WOBURN
01807,0189,MA,WOBURN
01808,0189,MA,WOBURN
01810,0189,MA,ANDOVER
01812,0189,MA,ANDOVER
01813,0189,MA,WOBURN
01815,0189,MA,WOBURN
01821,0189,MA,BILLERICA
01822,0189,MA,BILLERICA
01824,0189,MA,CHELMSFORD
01826,0189,MA,DRACUT
01827,0189,MA,DUNSTABLE
01830,0189,MA,HAVERHILL
01831,0189,MA,HAVERHILL
01832,0189,MA,HAVERHILL
01833,0199,MA,GEORGETOWN
01834,0199,MA,GROVELAND
01835,0189,MA,HAVERHILL
01840,0189,MA,LAWRENCE
01841,0189,MA,LAWRENCE
01842,0189,MA,LAWRENCE
01843,0189,MA,LAWRENCE
01844,0189,MA,METHUEN
01845,0199,MA,NORTH ANDOVER
01850,0189,MA,LOWELL
01851,0189,MA,LOWELL
01852,0189,MA,LOWELL
01853,0189,MA,LOWELL
01854,0189,MA,LOWELL
01860,0199,MA,MERRIMAC
01862,0189,MA,NORTH BILLERICA
01863,0189,MA,NORTH CHELMSFORD
01864,0186,MA,NORTH READING
01865,0189,MA,NUTTING LAKE
01866,0189,MA,PINEHURST
01867,0186,MA,READING
01876,0186,MA,TEWKSBURY
01879,0189,MA,TYNGSBORO
01880,0199,MA,WAKEFIELD
01885,0199,MA,WEST BOXFORD
01886,0189,MA,WESTFORD
01887,0186,MA,WILMINGTON
01888,0189,MA,WOBURN
01890,0186,MA,WINCHESTER
01899,0189,MA,ANDOVER
01901,0196,MA,LYNN
01902,0196,MA,LYNN
01903,0196,MA,LYNN
01904,0196,MA,LYNN
01905,0196,MA,LYNN
01906,0196,MA,SAUGUS
01907,0196,MA,SWAMPSCOTT
01908,0196,MA,NAHANT
01910,0196,MA,LYNN
01913,0199,MA,AMESBURY
01915,0199,MA,BEVERLY
